,Nspec,Nbins,WvlStart,WvlEnd,SplineKnots,SN,dm15,TypeStr,TypeInt,SubTypeInt,WFF subtype int,WFF subtype str,WFF broadtype int,WFF broadtype str
417,9,1024,2500.0,10000.0,10,sn2009iz,-9.99,Ib-norm,2,2,6,Ib-norm,1,Ib
418,4,1024,2500.0,10000.0,8,sn2005mf,-9.99,Ic-norm,3,2,10,Ic-norm,2,Ic
419,5,1024,2500.0,10000.0,8,sn2002cs,0.99,Ia-norm,1,2,0,Ia-norm,0,Ia
420,4,1024,2500.0,10000.0,10,sn02ha,-9.99,Ia-norm,1,2,0,Ia-norm,0,Ia
421,19,1024,2500.0,10000.0,11,sn2004eo,1.38,Ia-norm,1,2,0,Ia-norm,0,Ia
422,10,1024,2500.0,10000.0,8,sn2000cn,1.51,Ia-91bg,1,4,2,Ia-91bg,0,Ia
423,13,1024,2500.0,10000.0,11,sn1995al,0.87,Ia-norm,1,2,0,Ia-norm,0,Ia
424,28,1024,2500.0,10000.0,10,sn1986G,1.65,Ia-91bg,1,4,2,Ia-91bg,0,Ia
425,1,1024,2500.0,10000.0,11,sn98dx,-9.99,Ia-norm,1,2,0,Ia-norm,0,Ia
426,1,1024,2500.0,10000.0,8,sn2000cu,1.48,Ia-norm,1,2,0,Ia-norm,0,Ia
427,48,1024,2500.0,10000.0,10,sn2004et,-9.99,IIP,4,2,13,IIP,3,II
428,3,1024,2500.0,10000.0,11,sn07qe,-9.99,Ia-norm,1,2,0,Ia-norm,0,Ia
429,7,1024,2500.0,10000.0,8,sn2000E,1.09,Ia-norm,1,2,0,Ia-norm,0,Ia
430,1,1024,2500.0,10000.0,11,sn06bu,-9.99,Ia-norm,1,2,0,Ia-norm,0,Ia
431,4,1024,2500.0,10000.0,8,sn1999ek,1.14,Ia-norm,1,2,0,Ia-norm,0,Ia
432,3,1024,2500.0,10000.0,10,sn99da,-9.99,Ia-91bg,1,4,2,Ia-91bg,0,Ia
433,5,1024,2500.0,10000.0,8,sn2000B,1.46,Ia-norm,1,2,0,Ia-norm,0,Ia
434,39,1024,2500.0,10000.0,12,sn1994D,1.37,Ia-norm,1,2,0,Ia-norm,0,Ia
435,4,1024,2500.0,10000.0,8,sn2005mz,1.83,Ia-91bg,1,4,2,Ia-91bg,0,Ia
436,26,1024,2500.0,10000.0,10,sn2003kf,1.1,Ia-norm,1,2,0,Ia-norm,0,Ia
